Time,190-AT1001-AirTemp (°C),990-PC-1106A-H1,990-PC-1106B-H2,990-PC-1107-H1,990-PT-1154A (barg),990-PT-1154B (barg),990-PT-1154C (barg),990-PSHL-1150,990-LT-1181 (mm),990-LT-1182 (mm),990-LT-1183 (mm),990-PT-1159 (barg),190-ZSL-1103,190-ZSH-1103,190-ZSI-1103,190-ZT-1103 (%),990-PT-1179 (barg),190-ZSL-1104,190-ZSH-1104,190-ZSI-1104,190-ZT-1104 (%),
2020.04.01 00:00:40.075,,,,,163.82563781738,,,,,,,,,,,,,,,,,
2020.04.01 00:01:40.084,,,,,,,,,,,,158.19557189941,,,,,,,,,,
2020.04.01 00:02:13.078,0.69999998807907,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:03:32.088,,,,,,,,,,728.84631347656,,,,,,,,,,,,
2020.04.01 00:05:25.024,,,,,,163.75076293945,,,,,,,,,,,,,,,,
2020.04.01 00:07:43.097,0.60000002384186,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:08:10.094,,,,,,,,,,,,158.16563415527,,,,,,,,,,
2020.04.01 00:11:01.010,,,,,,,163.59353637695,,,,,,,,,,,,,,,
2020.04.01 00:11:35.003,,,,,163.86306762695,,,,,,,,,,,,,,,,,
2020.04.01 00:12:01.003,,,,,,,,,,728.70080566406,,,,,,,,,,,,
2020.04.01 00:14:13.007,0.69999998807907,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:18:19.015,,,,,,163.78071594238,,,,,,,,,,,,,,,,
2020.04.01 00:18:44.020,,,,,,,,,,,,,,,,,165.03100585938,,,,,
2020.04.01 00:18:50.029,,,,,,,,,,,,158.20306396484,,,,,,,,,,
2020.04.01 00:19:43.023,0.80000001192093,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:22:28.034,,,,,,,,,,,,,,,,,165.10586547852,,,,,
2020.04.01 00:24:13.036,0.89999997615814,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:24:36.030,,,,,,,,,,,,158.25547790527,,,,,,,,,,
2020.04.01 00:25:00.043,,,,,,,163.62348937988,,,,,,,,,,,,,,,
