Time,190-AT2001-AirTemp (°C),990-PC-2301A-H1,990-PC-2301B-H2,990-PC-2302-H1,990-PT-2304A (barg),990-PT-2304B (barg),990-PT-2304C (barg),990-PSHL-2300,990-LT-2331 (mm),990-LT-2332 (mm),990-LT-2333 (mm),990-LT-2334 (mm),990-LT-2335 (mm),990-PT-2309 (barg),190-ZSL-2201,190-ZSH-2201,190-ZSI-2201,190-ZT-2201 (%),990-PT-2329 (barg),
2020.04.01 00:02:36.071,,,,,,,,,,,,,,,,,,,164.61955261231,
2020.04.01 00:02:54.064,,,,,170.08996582031,,,,,,,,,,,,,,,
2020.04.01 00:05:10.088,,,,,,,170.30877685547,,,,,,,,,,,,,
2020.04.01 00:07:48.087,,,,,,170.32867431641,,,,,,,,,,,,,,
2020.04.01 00:08:47.005,,,,,170.03028869629,,,,,,,,,,,,,,,
2020.04.01 00:10:14.090,,,,,,,,,,,,,,169.85125732422,,,,,,
2020.04.01 00:10:40.094,,,,,,,,,670.48474121094,,,,,,,,,,,
2020.04.01 00:10:56.090,,,,,,,170.25904846191,,,,,,,,,,,,,
2020.04.01 00:11:22.009,,,,,,,,,,,,,,,,,,,164.56982421875,
2020.04.01 00:12:40.095,1.6000000238419,,,,,,,,,,,,,,,,,,,
2020.04.01 00:12:42.091,,,,,,,,,,,,,649.52697753906,,,,,,,
2020.04.01 00:17:15.092,,,,,,170.29884338379,,,,,,,,,,,,,,
2020.04.01 00:17:22.009,,,,,,,,,,,,,,169.80152893066,,,,,,
2020.04.01 00:19:40.014,1.7000000476837,,,,,,,,,,,,,,,,,,,
2020.04.01 00:20:49.010,,,,,,,170.19937133789,,,,,,,,,,,,,
2020.04.01 00:21:29.015,,,,,,,,,,,,,,169.73190307617,,,,,,
2020.04.01 00:22:19.003,,,,,,,,,,,,,,,,,,,164.53999328613,
2020.04.01 00:24:03.010,,,,,169.9905090332,170.25904846191,,,,,,,,,,,,,,
2020.04.01 00:25:47.026,,,,,,,,,,,,,,169.66227722168,,,,,,
2020.04.01 00:26:10.014,1.6000000238419,,,,,,,,,,,,,,,,,,,
2020.04.01 00:27:10.014,1.7000000476837,,,,,,,,,,,,,,,,,,,
2020.04.01 00:28:55.014,,,,,,,,,,,,,,,,,,,164.49024963379,
2020.04.01 00:29:30.017,,,,,169.95071411133,,,,,,,,,,,,,,,
2020.04.01 00:29:40.015,1.6000000238419,,,,,,,,,,,,,,,,,,,
2020.04.01 00:30:10.004,,,,,,,,,670.41198730469,,,,,,,,,,,
2020.04.01 00:30:40.023,1.7000000476837,,,,,,,,,,,,,,,,,,,
2020.04.01 00:33:09.021,,,,,,170.20932006836,,,,,,,,,,,,,,
2020.04.01 00:34:10.026,1.6000000238419,,,,,,,,,,,,,,,,,,,
2020.04.01 00:34:15.022,,,,,,,170.15959167481,,,,,,,,,,,,,
2020.04.01 00:38:20.033,,,,,169.91093444824,,,,,,,,,,,,,,,
2020.04.01 00:38:59.046,,,,,,,,,,,,,,169.59265136719,,,,,,
2020.04.01 00:39:04.026,,,,,,,,,,,,,,,,,,,164.44052124023,
2020.04.01 00:39:59.036,,,,,,,,,670.33923339844,,,,,,,,,,,
2020.04.01 00:40:49.047,,,,,,,170.1297454834,,,,,,,,,,,,,
2020.04.01 00:42:55.038,,,,,,170.17948913574,,,,,,,,,,,,,,
2020.04.01 00:43:10.030,1.7000000476837,,,,,,,,,,,,,,,,,,,
2020.04.01 00:46:53.039,,,,,169.88110351563,,,,,,,,,,,,,,,
2020.04.01 00:47:35.046,,,,,,,170.09991455078,,,,,,,,,,,,,
2020.04.01 00:47:48.046,,,,,,,,,,,,,649.38146972656,,,,,,,
2020.04.01 00:48:41.027,,,,,,170.14964294434,,,,,,,,,,,,,,
2020.04.01 00:49:40.044,1.6000000238419,,,,,,,,,,,,,,,,,,,
2020.04.01 00:52:10.048,1.7000000476837,,,,,,,,,,,,,,,,,,,
2020.04.01 00:52:29.046,,,,,,,,,,,,,,,,,,,164.42063903809,
2020.04.01 00:52:37.035,,,,,,,,,670.26647949219,,,,,,,,,,,
2020.04.01 00:54:39.044,,,,,169.83135986328,,,,,,,,,,,,,,,
2020.04.01 00:55:31.047,,,,,,,170.04023742676,,,,,,,,,,,,,
2020.04.01 00:55:47.045,,,,,,,,,,,,,,169.63244628906,,,,,,
2020.04.01 00:56:23.059,,,,,,170.10986328125,,,,,,,,,,,,,,
2020.04.01 00:58:11.044,1.7999999523163,,,,,,,,,,,,,,,,,,,
2020.04.01 01:01:40.061,1.8999999761581,,,,,,,,,,,,,,,,,,,
2020.04.01 01:01:43.059,,,,,,,,,,,,,,,,,,100.04792022705,,
2020.04.01 01:02:38.058,,,,,,,,,,,,,,,,,,,164.37089538574,
2020.04.01 01:03:16.060,,,,,,,,,670.12097167969,,,,,,,,,,,
2020.04.01 01:06:05.060,,,,,,170.08001708984,,,,,,,,,,,,,,
2020.04.01 01:06:10.042,,,,,169.7915802002,,,,,,,,,,,,,,,
2020.04.01 01:06:49.076,,,,,,,,,,,,,,169.5528717041,,,,,,
2020.04.01 01:07:56.068,,,,,,,,,,,,,649.30871582031,,,,,,,
2020.04.01 01:09:05.069,,,,,,,170.01039123535,,,,,,,,,,,,,
2020.04.01 01:10:40.067,1.7999999523163,,,,,,,,,,,,,,,,,,,
2020.04.01 01:12:12.068,,,,,,,,,,,,,,169.50314331055,,,,,,
2020.04.01 01:13:53.073,,,,,,,,,,,,,,,,,,,164.32116699219,
2020.04.01 01:14:00.077,,,,,,170.05018615723,,,,,,,,,,,,,,
2020.04.01 01:17:53.087,,,,,169.74185180664,,,,,,,,,,,,,,,
2020.04.01 01:18:30.062,,,,,,,169.98056030273,,,,,,,,,,,,,
2020.04.01 01:23:54.071,,,,,,170.01039123535,,,,,,,,,,,,,,
2020.04.01 01:24:10.083,1.8999999761581,,,,,,,,,,,,,,,,,,,
2020.04.01 01:26:04.074,,,,,,,,,670.04821777344,,,,,,,,,,,
2020.04.01 01:26:11.055,,,,,,,,,,,,,649.23596191406,,,,,,,
2020.04.01 01:27:46.092,,,,,,,169.93083190918,,,,,,,,,,,,,
2020.04.01 01:31:59.089,,,,,,,,,,,,,,,,,,,164.2813873291,
2020.04.01 01:33:40.090,1.7999999523163,,,,,,,,,,,,,,,,,,,
2020.04.01 01:33:53.094,,,,,169.70207214356,,,,,,,,,,,,,,,
