Time,190-AT1001-AirTemp,990-PC-1101A-H1,990-PC-1101B-H2,990-PC-1102-H1,990-PT-1104A (barg),990-PT-1104B (barg),990-PT-1104C (barg),990-PSHL-1100,990-LT-1131 (mm),990-LT-1132 (mm),990-LT-1133 (mm),990-LT-1134 (mm),990-LT-1135 (mm),990-PT-1109 (barg),190-ZSL-1102,190-ZSH-1102,190-ZSI-1102,190-ZT-1102 (%),990-PT-1129 (barg),190-ZSL-1101,190-ZSH-1101,190-ZSI-1101,190-ZT-1101 (%),
2020.04.01 00:02:55.081,,,,,,,,,,,,,,,,,,99.968353271484,,,,,,
2020.04.01 00:04:54.013,,,,,,,,,,,,,,,,,,,174.9884185791,,,,,
2020.04.01 00:05:10.082,,,,,174.70391845703,,,,,,,,,,,,,,,,,,,
2020.04.01 00:07:19.096,,,,,,,,,731.53881835938,,,,,,,,,,,,,,,
2020.04.01 00:07:43.097,0.60000002384186,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:09:51.003,,,,,,,,,,,,,,173.67822265625,,,,,,,,,,
2020.04.01 00:10:38.008,,,,,,,,,,,,,742.74536132813,,,,,,,,,,,
2020.04.01 00:12:15.008,,,,,,,,,,,786.77124023438,,,,,,,,,,,,,
2020.04.01 00:13:57.015,,,,,,,,,,,,,,,,,,,174.95098876953,,,,,
2020.04.01 00:14:04.022,,,,,,174.56915283203,,,,,,,,,,,,,,,,,,
2020.04.01 00:14:13.007,0.69999998807907,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:14:36.010,,,,,174.72637939453,,,,,,,,,,,,,,,,,,,
2020.04.01 00:15:01.032,,,,,,,174.77877807617,,,,,,,,,,,,,,,,,
2020.04.01 00:19:43.023,0.80000001192093,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:20:13.021,,,,,,,,,,,,,,,,,,,174.9884185791,,,,,
2020.04.01 00:23:06.033,,,,,,,,,,,,,,173.71566772461,,,,,,,,,,
2020.04.01 00:24:13.036,0.89999997615814,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:25:49.029,,,,,,,174.82369995117,,,,,,,,,,,,,,,,,
2020.04.01 00:26:22.039,,,,,174.75633239746,,,,,,,,,,,,,,,,,,,
2020.04.01 00:26:43.043,1,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:26:57.041,,,,,,,,,,,,,,,,,,,175.04830932617,,,,,
2020.04.01 00:27:29.033,,,,,,,,,,,,,,173.78305053711,,,,,,,,,,
2020.04.01 00:29:36.044,,,,,,,,,731.46606445313,,,,,,,,,,,,,,,
2020.04.01 00:30:13.040,1.1000000238419,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:31:00.033,,,,,,174.6065826416,,,,,,,,,,,,,,,,,,
2020.04.01 00:31:50.043,,,,,,,,,,,,,,,,,,,175.11569213867,,,,,
2020.04.01 00:32:13.034,1.2000000476837,,,,,,,,,,,,,,,,,,,,,,,
