Time,190-AT2001-AirTemp (°C),990-PC-2101A-H1,990-PC-2101B-H2,990-PC-2102-H1,990-PT-2104A (barg),990-PT-2104B (barg),990-PT-2104C (barg),990-PSHL-2100,990-LT-2131 (mm),990-LT-2132 (mm),990-LT-2133 (mm),990-LT-2134 (mm),990-LT-2135 (mm),990-PT-2109 (barg),190-ZSL-2101,190-ZSH-2101,190-ZSI-2101,190-ZT-2101 (%),990-PT-2129 (barg),
2020.05.01 00:01:49.024,,,,,,,,,,,,,,171.05474853516,,,,,,
2020.05.01 00:01:59.028,,,,,,,175.57032775879,,,,,,,,,,,,,
2020.05.01 00:02:22.030,10.39999961853,,,,,,,,,,,,,,,,,,,
2020.05.01 00:03:07.044,,,,,,,,,,,,,657.02233886719,,,,,,,
2020.05.01 00:03:45.018,,,,,,,,,622.3837890625,,,,,,,,,,,
2020.05.01 00:05:42.027,,,,,,,,,,,,,,170.95529174805,,,,,,
2020.05.01 00:07:34.029,,,,,175.65983581543,,,,,,,,,,,,,,,
2020.05.01 00:07:48.039,,,,,,,,,622.0927734375,,,,,,,,,,,
2020.05.01 00:08:16.029,,,,,,,,,,,,,,170.8359375,,,,,,
2020.05.01 00:09:33.046,,,,,,,,,,,,,656.80407714844,,,,,,,
2020.05.01 00:09:43.047,,,,,,,,,,,,,,,,,,,170.47787475586,
2020.05.01 00:10:35.038,,,,,,175.37139892578,,,,,,,,,,,,,,
2020.05.01 00:11:23.045,,,,,,,,,622.31103515625,,,,,,,,,,,
2020.05.01 00:11:59.033,,,,,,,,,,,,,,170.74641418457,,,,,,
2020.05.01 00:13:47.039,,,,,,,,,,,,,657.16784667969,,,,,,,
2020.05.01 00:14:52.056,10.300000190735,,,,,,,,,,,,,,,,,,,
2020.05.01 00:14:54.035,,,,,,,,,,665.24536132813,,,,,,,,,,
2020.05.01 00:15:07.047,,,,,,,,,,,,,,170.64695739746,,,,,,
2020.05.01 00:15:09.046,,,,,,,175.56037902832,,,,,,,,,,,,,
