Time,190-AT1001-AirTemp_(C),990-PC-1201A-H1,990-PC-1201B-H2,990-PC-1202-H1,990-PT-1204A_(barg),990-PT-1204B_(barg),990-PT-1204C_(barg),990-PSHL-1200,990-LT-1231_(mm),990-LT-1232_(mm),990-LT-1233_(mm),990-LT-1234_(mm),990-LT-1235_(mm),990-PT-1209_(barg),190-ZSL-1202,190-ZSH-1202,190-ZSI-1202,190-ZT-1202_(%),990-PT-1229_(barg),190-ZSL-1201,190-ZSH-1201,190-ZSI-1201,190-ZT-1201_(%)
2020.04.01 00:01:25.078,,0,0,,,173.625824,,0,,,,,,,1,1,0,,,1,1,0,
2020.04.01 00:02:13.078,0.699999988,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:03:26.080,,,,,,,,,,694.4989014,,,,,,,,,,,,,
2020.04.01 00:04:29.089,,,,,,,,,,,,,,,,,,,170.810791,,,,
2020.04.01 00:05:14.088,,,,,,,,,,,,,,173.8279572,,,,,,,,,
2020.04.01 00:05:51.084,,,,,,,173.5060272,,,,,,,,,,,,,,,,
2020.04.01 00:06:12.095,,,,,,,,,,,,,718.6585693,,,,,,,,,,
2020.04.01 00:07:43.097,0.600000024,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:11:43.002,,,,,173.7755585,,,,,,,,,,,,,,,,,,
2020.04.01 00:13:00.005,,,,,,,,,,,,,,,,,,,170.8706818,,,,
2020.04.01 00:13:42.003,,,,,,,,,,,702.6491699,,,,,,,,,,,,
2020.04.01 00:14:13.007,0.699999988,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:14:34.088,,,,,,,,,,694.6444092,,,,,,,,,,,,,
2020.04.01 00:16:34.009,,,,,,,,,,,,,,173.8579102,,,,,,,,,
2020.04.01 00:17:35.009,,,,,,,,,,,702.3580322,,,,,,,,,,,,
2020.04.01 00:19:12.013,,,,,,,,,,,,,,,,,,,170.9380646,,,,
2020.04.01 00:19:32.105,,,,,,,,,,,,,718.5129395,,,,,,,,,,
2020.04.01 00:19:43.023,0.800000012,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:21:22.024,,,,,,,,,,,702.7219238,,,,,,,,,,,,
2020.04.01 00:22:30.019,,,,,,,,,,,,,,173.9178009,,,,,,,,,
2020.04.01 00:22:36.018,,,,,,173.6557617,,,,,,,,,,,,,,,,,
2020.04.01 00:23:18.016,,,,,,,,,,,,800.0153809,,,,,,,,,,,
2020.04.01 00:24:13.036,0.899999976,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:24:13.107,,,,,,,,,,,,,,,,,,,170.9979706,,,,
2020.04.01 00:24:18.019,,,,,,,,,,,702.4307861,,,,,,,,,,,,
2020.04.01 00:26:02.023,,,,,173.8055115,,,,,,,,,,,,,,,,,,
2020.04.01 00:26:43.043,1,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:26:51.026,,,,,,,,,,,,,718.6585693,,,,,,,,,,
2020.04.01 00:27:27.031,,,,,,,,,,694.4989014,,,,,,,,,,,,,
2020.04.01 00:28:01.032,,,,,,,,,,,,,,,,,,,171.0877991,,,,
2020.04.01 00:28:14.026,,,,,,,,,,,,,,173.9926758,,,,,,,,,
2020.04.01 00:30:05.021,,,,,,,,,,,702.50354,,,,,,,,,,,,
2020.04.01 00:30:13.040,1.100000024,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:31:19.016,,,,,,,173.5434723,,,,,,,,,,,,,,,,
2020.04.01 00:32:01.015,,,,,,,,,,,,,,,,,,,171.1851349,,,,
2020.04.01 00:32:13.034,1.200000048,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:33:35.010,,,,,,,,,,,,,,174.0675354,,,,,,,,,
2020.04.01 00:35:11.017,,,,,,,,,,,,799.942627,,,,,,,,,,,
2020.04.01 00:35:58.019,,,,,,,,,,,,,718.5129395,,,,,,,,,,
2020.04.01 00:36:11.108,,,,,,,,,,,,,,,,,,,171.2749786,,,,
2020.04.01 00:37:19.024,,,,,,173.7006836,,,,,,,,,,,,,,,,,
2020.04.01 00:37:39.025,,,,,173.8429413,,,,,,,,,,,,,,,,,,
2020.04.01 00:38:13.041,1.299999952,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:38:23.028,,,,,,,,,,,,,,174.1499023,,,,,,,,,
2020.04.01 00:38:44.027,,,,,,,,,,694.6444092,,,,,,,,,,,,,
2020.04.01 00:39:37.028,,,,,,,,,,,,,,,,,,,171.3797913,,,,
2020.04.01 00:40:00.030,,,,,,,173.5883942,,,,,,,,,,,,,,,,
2020.04.01 00:40:43.057,1.399999976,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:43:08.039,,,,,,,,,,,,,,174.224762,,,,,,,,,
2020.04.01 00:43:23.129,,,,,,,,,,,,,,,,,,,171.469635,,,,
2020.04.01 00:43:42.133,,,,,,,,,,,702.7219238,,,,,,,,,,,,
2020.04.01 00:45:14.047,,,,,173.8803711,,,,,,,,,,,,,,,,,,
2020.04.01 00:45:56.044,,,,,,173.7456055,,,,,,,,,,,,,,,,,
2020.04.01 00:46:14.043,,,,,,,,,,,,,718.6585693,,,,,,,,,,
2020.04.01 00:46:43.076,1.5,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:46:44.127,,,,,,,,,,,,,,,,,,,171.5669556,,,,
2020.04.01 00:47:25.035,,,,,,,,,,,,,,174.2996368,,,,,,,,,
2020.04.01 00:47:37.035,,,,,,,,,,694.4989014,,,,,,,,,,,,,
2020.04.01 00:47:44.035,,,,,,,173.633316,,,,,,,,,,,,,,,,
2020.04.01 00:47:57.065,,,,,,,,,,,702.50354,,,,,,,,,,,,
2020.04.01 00:50:11.048,,,,,,,,,,,,,,,,,,,171.6792603,,,,
2020.04.01 00:52:02.052,,,,,,,,,,,,,,174.3670197,,,,,,,,,
2020.04.01 00:52:36.054,,,,,173.925293,,,,,,,,,,,,,,,,,,
2020.04.01 00:53:03.051,,,,,,,,,,,,,,,,,,99.99005127,,,,,
2020.04.01 00:53:52.058,,,,,,,,,,,,,718.5129395,,,,,,,,,,
2020.04.01 00:54:04.059,,,,,,,,,,,,,,,,,,,171.769104,,,,
2020.04.01 00:54:34.058,,,,,,,,,,,702.7219238,,,,,,,,,,,,
2020.04.01 00:55:06.056,,,,,,173.7830505,,,,,,,,,,,,,,,,,
2020.04.01 00:56:29.051,,,,,,,,,,,,,,174.4269104,,,,,,,,,
2020.04.01 00:57:09.054,,,,,,,173.6632538,,,,,,,,,,,,,,,,
2020.04.01 00:57:18.052,,,,,,,,,,,,,,,,,,,171.8439636,,,,
2020.04.01 00:59:13.059,,,,,,,,,,,702.4307861,,,,,,,,,,,,
2020.04.01 01:00:00.066,,,,,,,,,,,,,,,,,,,171.9487915,,,,
2020.04.01 01:00:30.068,,,,,,,,,,,,,,174.4942932,,,,,,,,,
2020.04.01 01:01:05.067,,,,,,,,,,,,,,,,,,99.97920227,,,,,
2020.04.01 01:01:57.068,,,,,,,173.6932068,,,,,,,,,,,,,,,,
2020.04.01 01:02:13.071,,,,,173.9702148,,,,,,,,,,,,,,,,,,
2020.04.01 01:02:16.158,,,,,,173.8279572,,,,,,,,,,,,,,,,,
2020.04.01 01:02:29.071,,,,,,,,,,,702.6491699,,,,,,,,,,,,
2020.04.01 01:03:26.070,,,,,,,,,,,,,718.6585693,,,,,,,,,,
2020.04.01 01:03:59.065,,,,,,,,,,,,,,,,,,,172.0311432,,,,
2020.04.01 01:04:40.069,,,,,,,,,,694.6444092,,,,,,,,,,,,,
2020.04.01 01:05:24.075,,,,,,,,,,,,,,174.561676,,,,,,,,,
2020.04.01 01:07:16.076,,,,,,,,,,,,,,,,,,,172.1284637,,,,
2020.04.01 01:08:22.072,,,,,,,173.7381287,,,,,,,,,,,,,,,,
2020.04.01 01:09:40.080,,,,,,,,,,694.4989014,,,,,,,,,,,,,
2020.04.01 01:09:43.031,1.600000024,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 01:10:26.091,,,,,174.0076447,,,,,,,,,,,,,,,,,,
2020.04.01 01:10:52.081,,,,,,,,,,,,,,174.6365356,,,,,,,,,
2020.04.01 01:10:59.007,,,,,,,,,,,,,,,,,,,172.2332764,,,,
2020.04.01 01:11:05.082,,,,,,,,,,,,,718.5129395,,,,,,,,,,
2020.04.01 01:11:16.082,,,,,,173.8654022,,,,,,,,,,,,,,,,,
2020.04.01 01:14:48.083,,,,,,,,,,,,,,,,,,,172.3306122,,,,
2020.04.01 01:16:01.089,,,,,,,,,,,,,,174.7039185,,,,,,,,,
2020.04.01 01:16:18.089,,,,,,,173.7830505,,,,,,,,,,,,,,,,
