Time,190-AT1001-AirTemp_(C),990-PC-1206A-H1,990-PC-1206B-H2,990-PC-1207-H1,990-PT-1254A_(barg),990-PT-1254B_(barg),990-PT-1254C_(barg),990-PSHL-1250,990-LT-1281_(mm),990-LT-1282_(mm),990-LT-1283_(mm),990-PT-1259_(barg),190-ZSL-1203,190-ZSH-1203,190-ZSI-1203,190-ZT-1203_(%),990-PT-1279_(barg),190-ZSL-1204,190-ZSH-1204,190-ZSI-1204,190-ZT-1204_(%)
2020.04.01 00:02:13.078,0.699999988,0,0,,,,,,,,,,1,1,0,,,1,1,0,
2020.04.01 00:02:53.019,,,,,,,,,,,,,,,,,181.9735718,,,,
2020.04.01 00:06:43.094,,,,,,,,,,,,179.9596405,,,,,,,,,
2020.04.01 00:07:43.097,0.600000024,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:07:52.083,,,,,,,,,,,,,,,,,181.913681,,,,
2020.04.01 00:08:20.089,,,,,,,181.9511108,,,,,,,,,,,,,,
2020.04.01 00:09:14.087,,,,,,182.1158295,,,,,,,,,,,,,,,
2020.04.01 00:14:13.007,0.699999988,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:14:21.093,,,,,,,,,,,,,,,,,,,,,100.0153732
2020.04.01 00:18:44.011,,,,,,,181.9810638,,,,,,,,,,,,,,
2020.04.01 00:19:43.023,0.800000012,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:20:43.017,,,,,,,,,,,,,,,,,181.9885559,,,,
2020.04.01 00:23:21.016,,,,,,,,,,,,180.0419922,,,,,,,,,
2020.04.01 00:24:13.036,0.899999976,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:24:35.020,,,,,182.1607513,,,,,,,,,,,,,,,,
2020.04.01 00:25:11.025,,,,,,,,,,,,,,,,,182.0783844,,,,
2020.04.01 00:26:43.043,1,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:26:58.030,,,,,,182.1382904,,,,,,,,,,,,,,,
2020.04.01 00:27:16.033,,,,,,,,,,,,180.1318359,,,,,,,,,
2020.04.01 00:29:15.022,,,,,,,,,,,,,,,,,182.1757202,,,,
2020.04.01 00:30:13.040,1.100000024,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:31:09.017,,,,,182.2056732,,,,,,,,,,,,,,,,
2020.04.01 00:31:11.018,,,,,,,,,,,,180.2291565,,,,,,,,,
2020.04.01 00:31:35.015,,,,,,,182.0184937,,,,,,,,,,,,,,
2020.04.01 00:32:13.034,1.200000048,,,,,,,,,,,,,,,,,,,,
2020.04.01 00:32:26.015,,,,,,,,,,,,,,,,,182.3029938,,,,
2020.04.01 00:33:21.012,,,,,,182.1906891,,,,,,,,,,,,,,,
2020.04.01 00:34:23.010,,,,,,,,,,,,180.3339691,,,,,,,,,
2020.04.01 00:35:47.017,,,,,,,,,,,,,,,,,182.4227905,,,,
2020.04.01 00:37:29.021,,,,,,,182.0634155,,,,,,,,,,,,,,
2020.04.01 00:37:33.020,,,,,,,,,,,,180.4387817,,,,,,,,,
2020.04.01 00:38:09.023,,,,,182.2730408,,,,,,,,,,,,,,,,
2020.04.01 00:38:13.041,1.299999952,,,,,,,,,,,,,,,,,,,,
