Time,190-AT2001-AirTemp_(C),990-PC-2101A-H1,990-PC-2101B-H2,990-PC-2102-H1,990-PT-2104A_(barg),990-PT-2104B_(barg),990-PT-2104C_(barg),990-PSHL-2100,990-LT-2131_(mm),990-LT-2132_(mm),990-LT-2133_(mm),990-LT-2134_(mm),990-LT-2135_(mm),990-PT-2109_(barg),190-ZSL-2101,190-ZSH-2101,190-ZSI-2101,190-ZT-2101_(%),990-PT-2129_(barg)
2020.05.01 00:01:49.024,,,,,,,,,,,,,,171.0547485,,,,,
2020.05.01 00:01:59.028,,,,,,,175.5703278,,,,,,,,,,,,
2020.05.01 00:02:22.030,10.39999962,,,,,,,,,,,,,,,,,,
2020.05.01 00:03:07.044,,,,,,,,,,,,,657.0223389,,,,,,
2020.05.01 00:03:45.018,,,,,,,,,622.3837891,,,,,,,,,,
2020.05.01 00:05:42.027,,,,,,,,,,,,,,170.9552917,,,,,
2020.05.01 00:07:34.029,,,,,175.6598358,,,,,,,,,,,,,,
2020.05.01 00:07:48.039,,,,,,,,,622.0927734,,,,,,,,,,
2020.05.01 00:08:16.029,,,,,,,,,,,,,,170.8359375,,,,,
2020.05.01 00:09:33.046,,,,,,,,,,,,,656.8040771,,,,,,
2020.05.01 00:09:43.047,,,,,,,,,,,,,,,,,,,170.4778748
2020.05.01 00:10:35.038,,,,,,175.3713989,,,,,,,,,,,,,
2020.05.01 00:11:23.045,,,,,,,,,622.3110352,,,,,,,,,,
2020.05.01 00:11:59.033,,,,,,,,,,,,,,170.7464142,,,,,
2020.05.01 00:13:47.039,,,,,,,,,,,,,657.1678467,,,,,,
2020.05.01 00:14:52.056,10.30000019,,,,,,,,,,,,,,,,,,
2020.05.01 00:14:54.035,,,,,,,,,,665.2453613,,,,,,,,,
2020.05.01 00:15:07.047,,,,,,,,,,,,,,170.6469574,,,,,
2020.05.01 00:15:09.046,,,,,,,175.560379,,,,,,,,,,,,
2020.05.01 00:15:55.045,,,,,,,,,,,,,,,,,,,170.4380798
2020.05.01 00:16:03.050,,,,,,,,,,,,,657.0223389,,,,,,
2020.05.01 00:18:54.054,,,,,,,,,,,,,,170.5773315,,,,,
2020.05.01 00:19:59.061,,,,,,,,,622.0927734,,,,,,,,,,
2020.05.01 00:21:22.066,10.19999981,,,,,,,,,,,,,,,,,,
2020.05.01 00:23:26.062,,,,,,,,,622.3110352,,,,656.949585,,,,,,
2020.05.01 00:23:58.055,,,,,,,175.5106506,,,,,,,,,,,,
2020.05.01 00:24:16.047,,,,,,,,,,,,,,,,,,,170.3883514
2020.05.01 00:24:52.047,,,,,,,,,,,,656.5856934,,,,,,,
2020.05.01 00:26:00.049,,,,,,,,,,,,,,,,,,100.1889801,
2020.05.01 00:26:49.067,,,,,175.6300049,,,,,,,,,,,,,,
2020.05.01 00:28:17.066,,,,,,,,,,,649.6726074,,,,,,,,
2020.05.01 00:30:22.060,10.10000038,,,,,,,,,,,,,,,,,,
2020.05.01 00:30:48.068,,,,,,,,,,,,,,170.5375519,,,,,170.3485718
2020.05.01 00:31:22.068,,,,,,,,,622.0198975,,,,,,,,,,
2020.05.01 00:31:25.066,,,,,,175.3515015,,,,,,,,,,,,,
2020.05.01 00:33:53.063,,,,,,,,,622.3110352,,,,,,,,,,
2020.05.01 00:34:10.063,,,,,,,,,,,,,,170.4579773,,,,,
2020.05.01 00:34:17.062,,,,,,,,,,665.1726074,,,,,,,,,
2020.05.01 00:34:21.066,,,,,,,175.5205994,,,,,,,,,,,,
2020.05.01 00:38:27.057,,,,,,,,,,,,,,,,,,,170.3087769
2020.05.01 00:39:23.061,,,,,,,,,,,,,,,,,,100.1708984,
2020.05.01 00:41:20.077,,,,,,,,,622.0198975,,,,,,,,,,
2020.05.01 00:41:22.053,10.19999981,,,,,,,,,,,,,,,,,,
2020.05.01 00:41:42.078,,,,,,,,,,,,,,170.5773315,,,,,
2020.05.01 00:43:40.058,,,,,,175.3216705,,,,,,,,,,,,,
2020.05.01 00:43:52.072,,,,,,,,,622.2382813,,,,,,,,,,
2020.05.01 00:45:00.009,,,,,,,,,,,,,,170.6966858,,,,,
2020.05.01 00:45:08.081,,,,,,,,,,,,,,,,,,100.1889801,
2020.05.01 00:45:25.071,,,,,175.6101074,,,,,,,,,,,,,,
2020.05.01 00:46:22.081,10.30000019,,,,,,,,,,,,,,,,,,
2020.05.01 00:48:00.024,,,,,,,,,,,,,,170.7961426,,,,,
2020.05.01 00:48:36.074,,,,,,,175.5106506,,,,,,,,,,,,
2020.05.01 00:49:41.092,,,,,,,,,,665.0269775,,,,,,,,,
2020.05.01 00:50:50.087,,,,,,,,,,,649.5997314,,,,,,,,
2020.05.01 00:52:22.079,10.39999962,,,,,,,,,,,,,,,,,,
2020.05.01 00:53:35.076,,,,,,,,,,,,,,170.8757172,,,,,
2020.05.01 00:56:22.008,,,,,,,,,,,,,,171.0249176,,,,,
2020.05.01 00:57:22.001,10.5,,,,,,,,,,,,,,,,,,
2020.05.01 00:58:31.092,,,,,,,,,,,,,,,,,,,170.338623
2020.05.01 00:58:45.088,,,,,,,175.4708557,,,,,,,,,,,,
2020.05.01 00:59:11.095,,,,,,,,,,,,,656.8768311,,,,,,
2020.05.01 00:59:59.088,,,,,,,,,,,,,,171.0845947,,,,,
2020.05.01 01:02:04.011,,,,,,,,,,,,,,170.9254456,,,,,
2020.05.01 01:02:22.096,10.60000038,,,,,,,,,,,,,,,,,,
2020.05.01 01:02:47.000,,,,,,,,,,,,,,,,,,100.1853638,
2020.05.01 01:03:44.086,,,,,175.6001587,,,,,,,,,,,,,,
2020.05.01 01:06:05.087,,,,,,,,,,,,,,170.7961426,,,,,
2020.05.01 01:06:52.009,10.69999981,,,,,,,,,,,,,,,,,,
2020.05.01 01:08:03.062,,,,,,,,,,,,,657.0223389,,,,,,
2020.05.01 01:08:38.091,,,,,,,,,,,,,,,,,,,170.3585205
2020.05.01 01:09:47.013,,,,,,175.2719421,,,,,,,,,,,,,
2020.05.01 01:09:55.008,,,,,,,,,,,,,,170.6966858,,,,,
2020.05.01 01:11:52.002,10.80000019,,,,,,,,,,,,,,,,,,
2020.05.01 01:12:20.013,,,,,175.560379,,,,,,,,,,,,,,
2020.05.01 01:13:15.004,,,,,,,,,,,,,,170.5872803,,,,,
2020.05.01 01:14:05.013,,,,,,,,,,,,,656.8768311,,,,,,
2020.05.01 01:14:52.013,10.89999962,,,,,,,,,,,,,,,,,,
2020.05.01 01:15:04.021,,,,,,175.3017731,,,,,,,,,,,,,
2020.05.01 01:15:33.010,,,,,,,,,,,649.5269775,,,,,,,,
2020.05.01 01:16:15.015,,,,,,,,,,,,,,170.5276031,,,,,
2020.05.01 01:16:57.029,,,,,,,,,,,,,,,,,,,170.3883514
2020.05.01 01:18:22.027,11,,,,,,,,,,,,,,,,,,
2020.05.01 01:19:18.014,,,,,,,,,,,,,,,,,,100.1672745,
2020.05.01 01:21:22.024,11.10000038,,,,,,,,,,,,,,,,,,
2020.05.01 01:22:55.025,,,,,,,,,,,,,,170.4082489,,,,,
